Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
0.0000000000,59.6606171578,10.6766771483,6614808.9753742870,594470.7670977875
1.7994978428,59.6606171480,10.6766771867,6614808.9743340136,594470.7692849992
2.9058387280,59.6606170480,10.6766771183,6614808.9631028995,594470.7657166367
3.8652293682,59.6606171168,10.6766771500,6614808.9708117768,594470.7673070041
4.6782565117,59.6606170820,10.6766771717,6614808.9669643193,594470.7686255986
6.0911750793,59.6606174160,10.6766781617,6614809.0055604018,594470.8234589448
7.0374195576,59.6606185073,10.6766817217,6614809.1321346164,594471.0209460409
8.7835977077,59.6606215845,10.6766887083,6614809.4846856873,594471.4058926780
10.6493380070,59.6606221438,10.6766902000,6614809.5490840692,594471.4883541712
12.5870137215,59.6606244198,10.6766954367,6614809.8099437449,594471.7769659604
12.5870306492,59.6606268758,10.6767012933,6614810.0917268023,594472.0999998203
14.8213217258,59.6606293195,10.6767074100,6614810.3725067573,594472.4377157210
14.8213217258,59.6606317057,10.6767131367,6614810.6463297019,594472.7536222116
17.1668670177,59.6606341595,10.6767189983,6614810.9278787272,594473.0769437002
17.1668782234,59.6606365595,10.6767250500,6614811.2037044726,594473.4111204298
18.0824491978,59.6606390493,10.6767310117,6614811.4894040721,594473.7399741708
18.0824582577,59.6606414610,10.6767369883,6614811.7664220817,594474.0698927748
18.0824623108,59.6606433883,10.6767418133,6614811.9878759868,594474.3362932592
18.1353168488,59.6606452912,10.6767463750,6614812.2062273137,594474.5879274490
19.0050356388,59.6606472337,10.6767510483,6614812.4291540273,594474.8457408980
20.0012898445,59.6606491370,10.6767556767,6614812.6476559434,594475.1011293626
21.1122145653,59.6606510742,10.6767601683,6614812.8697303217,594475.3487233591
22.0603957176,59.6606527847,10.6767649133,6614813.0669285329,594475.6112267312
23.0019223690,59.6606540602,10.6767697200,6614813.2157822438,594475.8784277522
24.0044910908,59.6606550027,10.6767746717,6614813.3277666010,594476.1547341896
25.0019783974,59.6606566455,10.6767798750,6614813.5180833125,594476.4432485419
26.0051264763,59.6606583457,10.6767850933,6614813.7148048058,594476.7324466316
27.0031311512,59.6606600727,10.6767900983,6614813.9142102674,594477.0095508434
28.0024340153,59.6606618277,10.6767952333,6614814.1169182593,594477.2938999550
29.0109086037,59.6606636342,10.6768000883,6614814.3249616819,594477.5623300634
30.0121328831,59.6606653732,10.6768047333,6614814.5251908703,594477.8191194395
30.0121328831,59.6606671678,10.6768093917,6614814.7316369005,594478.0765033468
31.0066409111,59.6606688762,10.6768136317,6614814.9278752878,594478.3105628198
32.0070717335,59.6606712093,10.6768183050,6614815.1942985365,594478.5672769162
33.0126919746,59.6606739885,10.6768227867,6614815.5101060113,594478.8119386297
34.0060641766,59.6606758020,10.6768264817,6614815.7172778277,594479.0149990231
35.0124843121,59.6606777543,10.6768300667,6614815.9397505959,594479.2114718865
36.0125892162,59.6606796238,10.6768341550,6614816.1537172515,594479.4365335555
37.0089571476,59.6606815422,10.6768379350,6614816.3726820825,594479.6440875444
38.0082681179,59.6606830900,10.6768418067,6614816.5505264513,594479.8578478760
39.0143079758,59.6606842525,10.6768462767,6614816.6863200096,594480.1063998840
40.0130858421,59.6606851840,10.6768508717,6614816.7965722913,594480.3626436949
41.0148918629,59.6606862787,10.6768553900,6614816.9248822108,594480.6141093969
42.0490076542,59.6606876530,10.6768603767,6614817.0849964572,594480.8911724108
43.0171391964,59.6606892253,10.6768648800,6614817.2664677985,594481.1404493244
44.1033885479,59.6606915428,10.6768702717,6614817.5321694072,594481.4376751834
45.0276250839,59.6606941525,10.6768747500,6614817.8291004356,594481.6826255285
46.0677664280,59.6606959507,10.6768788783,6614818.0351820244,594481.9101410503
46.0677664280,59.6606981213,10.6768826150,6614818.2821797542,594482.1145437211
47.0638694763,59.6606999177,10.6768869000,6614818.4882802479,594482.3508903257
48.0624761581,59.6607017498,10.6768904833,6614818.6973716365,594482.5476069911
49.0665812492,59.6607035135,10.6768946183,6614818.8996215854,594482.7755950376
50.0633904934,59.6607053328,10.6768986417,6614819.1079104478,594482.9971356066
51.0653312206,59.6607071692,10.6769027583,6614819.3182249349,594483.2238863553
52.0599479675,59.6607090040,10.6769069200,6614819.5284364801,594483.4531764187
53.0627946854,59.6607108442,10.6769110783,6614819.7392371027,594483.6822636657
54.0624845028,59.6607118682,10.6769152967,6614819.8592522917,594483.9170270526
55.0619921684,59.6607123628,10.6769202567,6614819.9213879816,594484.1950620639
56.0642087460,59.6607137037,10.6769248117,6614820.0771582052,594484.4479005709
57.0644915104,59.6607148392,10.6769296467,6614820.2104654852,594484.7170907775
58.0605959892,59.6607163647,10.6769346117,6614820.3873798819,594484.9925075008
59.0604887009,59.6607180878,10.6769397100,6614820.5864920206,594485.2748795889
60.0637252331,59.6607197540,10.6769444250,6614820.7787122261,594485.5358165361
61.0639789104,59.6607213800,10.6769489133,6614820.9661377016,594485.7840969628
61.0639789104,59.6607234728,10.6769539167,6614821.2062728386,594486.0600770918
62.0625455379,59.6607262810,10.6769586300,6614821.5256394027,594486.3177073526
64.2079207897,59.6607285268,10.6769622900,6614821.7808971973,594486.5175789832
64.2593038082,59.6607302697,10.6769660500,6614821.9802940385,594486.7244992448
65.0745942593,59.6607319622,10.6769699683,6614822.1743122321,594486.9404809463
66.0621683598,59.6607337653,10.6769735867,6614822.3802248687,594487.1392505012
67.0628964901,59.6607354403,10.6769775933,6614822.5724204015,594487.3602577336
68.0654733181,59.6607373887,10.6769816783,6614822.7951600002,594487.5849089666
69.0661609173,59.6607391747,10.6769856583,6614822.9996761829,594487.8041015853
70.0732817650,59.6607410513,10.6769898000,6614823.2145172106,594488.0321467551
71.0623798370,59.6607424490,10.6769938983,6614823.3759653801,594488.2590982399
72.0586457253,59.6607436662,10.6769985600,6614823.5181188518,594488.5182934250
73.0663049221,59.6607443600,10.6770035167,6614823.6024250761,594488.7955799928
74.0654370785,59.6607456507,10.6770083450,6614823.7529992191,594489.0639576887
75.0669476986,59.6607470888,10.6770130417,6614823.9198083961,594489.3245028318
76.0642435551,59.6607485740,10.6770176233,6614824.0916868038,594489.5784370919
76.0642435551,59.6607501117,10.6770219783,6614824.2690878399,594489.8194541489
77.0658671856,59.6607516617,10.6770261900,6614824.4476580303,594490.0523616672
78.0648014545,59.6607532760,10.6770302850,6614824.6332249409,594490.2785156453
79.0625441074,59.6607555313,10.6770351250,6614824.8912204290,594490.5448365066
80.0680198669,59.6607584843,10.6770394950,6614825.2262241030,594490.7827166525
81.1821432114,59.6607600365,10.6770434667,6614825.4046939397,594491.0020973474
82.0651025772,59.6607618267,10.6770475250,6614825.6097857477,594491.2256908831
83.0643076897,59.6607635483,10.6770514217,6614825.8070207387,594491.4403694711
84.0669651031,59.6607653045,10.6770554283,6614826.0082535120,594491.6611479248
85.0623457432,59.6607671155,10.6770593350,6614826.2154490110,594491.8761384953
86.0662155151,59.6607687918,10.6770634650,6614826.4079688508,594492.1040896004
87.0632395744,59.6607707007,10.6770676533,6614826.6264579659,594492.3346728240
88.0661573410,59.6607725298,10.6770718983,6614826.8361577922,594492.5686725242
89.0633194447,59.6607743665,10.6770761917,6614827.0467614774,594492.8053739989
90.0681643486,59.6607762047,10.6770803233,6614827.2573020430,594493.0329635903
91.0766282082,59.6607779030,10.6770844783,6614827.4523069942,594493.2622610732
91.0766282082,59.6607795930,10.6770886333,6614827.6463841368,594493.4915819775
92.0754151344,59.6607812830,10.6770929300,6614827.8406629665,594493.7288837752
93.0782094002,59.6607830790,10.6770974733,6614828.0470948508,594493.9797835057
94.0752110481,59.6607848623,10.6771017333,6614828.2517131148,594494.2147570128
95.0762302876,59.6607865215,10.6771062283,6614828.4428413967,594494.4633187659
96.0760221481,59.6607882665,10.6771104583,6614828.6431490071,594494.6967099954
97.0776214600,59.6607900007,10.6771146650,6614828.8422172451,594494.9288171758
98.0818588734,59.6607915938,10.6771192117,6614829.0260707792,594495.1804752309
99.0710999966,59.6607925253,10.6771240450,6614829.1366633978,594495.4501444822
100.0662529469,59.6607938815,10.6771287200,6614829.2943124184,594495.7096990653
101.0830242634,59.6607946368,10.6771330283,6614829.3845435297,594495.9502876033
102.0672287941,59.6607959303,10.6771377750,6614829.5353173949,594496.2140558669
103.0670483112,59.6607975585,10.6771424933,6614829.7233122531,594496.4752863284
104.0669317245,59.6607990665,10.6771473500,6614829.8981248792,594496.7446479853
104.0669317245,59.6608020198,10.6771533317,6614830.2354604751,594497.0733209215
105.0676097870,59.6608052255,10.6771578000,6614830.5987361120,594497.3160289264
106.0678150654,59.6608071553,10.6771614733,6614830.8188304976,594497.5175395401
107.0683572292,59.6608088553,10.6771653217,6614831.0135847116,594497.7295555561
108.0676422119,59.6608109585,10.6771691967,6614831.2532649068,594497.9419394946
109.0669648647,59.6608127522,10.6771730950,6614831.4585190397,594498.1565087151
110.0678880215,59.6608146933,10.6771770250,6614831.6802407112,594498.3724468739
111.0675549507,59.6608163983,10.6771810483,6614831.8758008033,594498.5943074974
112.0673091412,59.6608183540,10.6771855250,6614832.0999151729,594498.8410017252
113.0737798214,59.6608196368,10.6771900950,6614832.2492501177,594499.0948470318
114.0667858124,59.6608204840,10.6771951000,6614832.3506978611,594499.3744242047
115.0678322315,59.6608218350,10.6771999250,6614832.5079854568,594499.6424433107
116.0674419403,59.6608233308,10.6772050067,6614832.6817640224,594499.9245144106
117.0670166016,59.6608249197,10.6772099283,6614832.8656693054,594500.1973100846
118.0678818226,59.6608265952,10.6772147867,6614833.0591337904,594500.4662939465
119.0672514439,59.6608283632,10.6772195100,6614833.2627049163,594500.7274121821
119.0672514439,59.6608296105,10.6772234217,6614833.4071502145,594500.9442694840
120.0663137436,59.6608312952,10.6772284350,6614833.6018560277,594501.2219595257
121.0670032501,59.6608335823,10.6772336817,6614833.8639755547,594501.5110993069
122.0667252541,59.6608368877,10.6772393000,6614834.2399854837,594501.8183123631
123.0671114922,59.6608393333,10.6772433317,6614834.5180224311,594502.0385580964
124.0665018559,59.6608414090,10.6772468850,6614834.7541831080,594502.2328975886
125.0674533844,59.6608432005,10.6772508283,6614834.9592603259,594502.4500075770
126.0698478222,59.6608451097,10.6772544183,6614835.1769353515,594502.6468811508
127.0675601959,59.6608470288,10.6772582850,6614835.3961176695,594502.8593127948
128.0672962666,59.6608484080,10.6772622683,6614835.5553432629,594503.0798363419
129.0674498081,59.6608502443,10.6772668600,6614835.7663352545,594503.3333444436
130.0673477650,59.6608516750,10.6772716600,6614835.9324575216,594503.5997305831
131.0652155876,59.6608525938,10.6772764267,6614836.0415455475,594503.8656790203
132.0659973621,59.6608535133,10.6772807667,6614836.1501003625,594504.1075889743
133.0665290356,59.6608548945,10.6772858517,6614836.3111171871,594504.3901700272
134.1416666508,59.6608564452,10.6772905583,6614836.4904672774,594504.6509604228
135.0707378387,59.6608579333,10.6772955500,6614836.6632644916,594504.9279823467
135.0707378387,59.6608602067,10.6773011450,6614836.9243400656,594505.2367841735
136.0704317093,59.6608628625,10.6773066450,6614837.2278674170,594505.5391577755
137.0715050697,59.6608649373,10.6773110550,6614837.4651551843,594505.7817602011
138.0713448524,59.6608673995,10.6773153633,6614837.7454233617,594506.0175452371
139.0713720322,59.6608697888,10.6773191183,6614838.0167945772,594506.2223627382
145.5508494377,59.6608716183,10.6773230267,6614838.2260530656,594506.4373936394
148.2703123093,59.6608735412,10.6773269167,6614838.4456770672,594506.6511290682
148.2703552246,59.6608754093,10.6773309033,6614838.6593522001,594506.8704640828
148.2703731060,59.6608774453,10.6773348167,6614838.8916092627,594507.0851955252
148.2703895569,59.6608792782,10.6773389450,6614839.1015521614,594507.3126108053
148.2704246044,59.6608812690,10.6773428517,6614839.3287709663,594507.5270937163
149.9093375206,59.6608828992,10.6773470567,6614839.5162584288,594507.7593982969
149.9093656540,59.6608844465,10.6773515167,6614839.6948864274,594508.0063015447
149.9094421864,59.6608857432,10.6773564583,6614839.8462913642,594508.2810451533
149.9094421864,59.6608869697,10.6773614133,6614839.9899030486,594508.5567373255
151.2423555851,59.6608880713,10.6773659717,6614840.1190512115,594508.8104342518
151.2423744202,59.6608894112,10.6773710550,6614840.2754640309,594509.0930372211
152.4950141907,59.6608909017,10.6773760050,6614840.4484620402,594509.3677047739
154.0412619114,59.6608928548,10.6773811200,6614840.6732076555,594509.6503657734
156.3514642715,59.6608946790,10.6773860467,6614840.8833224587,594509.9227798500
156.3514678478,59.6608973295,10.6773909933,6614841.1854685443,594510.1939953398
156.4971225262,59.6609002110,10.6773951733,6614841.5122422604,594510.4213700674
156.4971456528,59.6609022110,10.6773989100,6614841.7402398018,594510.6262497887
156.6659009457,59.6609041423,10.6774027233,6614841.9607012616,594510.8356417797
157.5888772011,59.6609060755,10.6774063400,6614842.1810868364,594511.0339492377
158.5254704952,59.6609079223,10.6774100650,6614842.3920144383,594511.2386026443
159.5263772011,59.6609097230,10.6774139533,6614842.5980344787,594511.4525874328
160.5254783630,59.6609098730,10.6774183517,6614842.6209978089,594511.6999483746
161.5254704952,59.6609114813,10.6774232217,6614842.8070015032,594511.9697771971
162.5248470306,59.6609131205,10.6774282667,6614842.9966873294,594512.2493779680
163.5245077610,59.6609148015,10.6774331017,6614843.1907318365,594512.5170305020
164.5253489017,59.6609164940,10.6774379817,6614843.3861208260,594512.7871857514
164.5253489017,59.6609180338,10.6774424567,6614843.5639354801,594513.0349546446
165.5260014534,59.6609197710,10.6774472133,6614843.7641220205,594513.2980360821
166.5246930122,59.6609215432,10.6774520817,6614843.9683644287,594513.5673098131
167.5247240067,59.6609232508,10.6774566100,6614844.1649414012,594513.8176109036
168.5251142979,59.6609252065,10.6774614050,6614844.3895100588,594514.0822369134
169.5256190300,59.6609269505,10.6774658150,6614844.5899638757,594514.3257693194
170.5249803066,59.6609290685,10.6774707533,6614844.8328106264,594514.5980132212
171.5260386467,59.6609318962,10.6774748250,6614845.1534366347,594514.8194357993
172.5315091610,59.6609338998,10.6774790917,6614845.3825973272,594515.0541626117
173.5246217251,59.6609361348,10.6774827667,6614845.6366718840,594515.2549064865
174.7641239166,59.6609380888,10.6774865900,6614845.8596715219,594515.4647975517
175.5250244141,59.6609401883,10.6774900683,6614846.0983796911,594515.6548433485
177.0946252346,59.6609406788,10.6774942183,6614846.1589004835,594515.8872558174
177.5263018608,59.6609417118,10.6774992650,6614846.2810992440,594516.1686558725
178.5248963833,59.6609432778,10.6775040333,6614846.4622451700,594516.4328758882
179.5251574516,59.6609442242,10.6775080267,6614846.5732947644,594516.6551796236
179.5251574516,59.6609457398,10.6775126933,6614846.7486919155,594516.9138137889
180.6229343414,59.6609470765,10.6775173567,6614846.9041547319,594517.1727638817
181.5249936581,59.6609488013,10.6775221933,6614847.1030823076,594517.4403864190
182.5252447128,59.6609512002,10.6775276817,6614847.3779800385,594517.7428241931
183.6223397255,59.6609543065,10.6775326767,6614847.7309473632,594518.0154786502
184.5250957012,59.6609564905,10.6775363400,6614847.9793272000,594518.2157084700
186.5219857693,59.6609588003,10.6775400183,6614848.2417385168,594518.4164291746
186.6272358894,59.6609606020,10.6775438617,6614848.4478062391,594518.6278753135
187.5267498493,59.6609625157,10.6775476267,6614848.6662323503,594518.8345932818
188.5249316692,59.6609645908,10.6775515233,6614848.9028271427,594519.0482742445
189.5262997150,59.6609665223,10.6775554983,6614849.1235378487,594519.2667724451
190.5273876190,59.6609684382,10.6775593650,6614849.3423500014,594519.4792116896
191.5250823498,59.6609701305,10.6775633417,6614849.5364346281,594519.6984768063
192.5261113644,59.6609713265,10.6775680433,6614849.6762905978,594519.9599819931
193.5251464844,59.6609718413,10.6775724283,6614849.7398555335,594520.2055645521
194.5255584717,59.6609733437,10.6775774250,6614849.9142383309,594520.4828265897
195.5245029926,59.6609746998,10.6775824867,6614850.0724397236,594520.7641617673
195.5245029926,59.6609763842,10.6775871800,6614850.2666542409,594521.0238231022
196.5257697105,59.6609780803,10.6775917567,6614850.4620201550,594521.2768786270
197.5247604847,59.6609805285,10.6775972233,6614850.7423800519,594521.5779564013
198.5252122879,59.6609829480,10.6776015017,6614851.0178560801,594521.8121694053
199.5250470638,59.6609852935,10.6776055967,6614851.2848320035,594522.0362624520
200.5251615047,59.6609876022,10.6776095883,6614851.5475598220,594522.2546377889
201.5250132084,59.6609895218,10.6776133250,6614851.7666138224,594522.4597423114
202.5247240067,59.6609915457,10.6776171917,6614851.9974507233,594522.6718772672
203.5244393349,59.6609935547,10.6776211167,6614852.2267191848,594522.8873401816
204.5246844292,59.6609954118,10.6776250200,6614852.4390518973,594523.1020097795
205.5250763893,59.6609973585,10.6776287450,6614852.6610954758,594523.3063809666
206.5249688625,59.6609984860,10.6776330867,6614852.7928123595,594523.5477978009
207.5247187614,59.6609990908,10.6776377833,6614852.8668418266,594523.8106847075
208.5265953541,59.6610004542,10.6776428050,6614853.0257844366,594524.0897459334
209.5255477428,59.6610018833,10.6776475300,6614853.1916343914,594524.3519089874
210.5275013447,59.6610034123,10.6776522883,6614853.3686471358,594524.6156688973
210.5275013447,59.6610050587,10.6776568717,6614853.5584744141,594524.8692398452
211.5271277428,59.6610077813,10.6776621883,6614853.8691834379,594525.1610942145
212.5272507668,59.6610105358,10.6776664200,6614854.1818916658,594525.3917349306
213.5276074409,59.6610129530,10.6776698983,6614854.4559689052,594525.5808856065
214.5272333622,59.6610150083,10.6776733283,6614854.6896913154,594525.7683317297
215.5268111229,59.6610168982,10.6776770017,6614854.9053337192,594525.9699519204
216.5266139507,59.6610189930,10.6776804067,6614855.1434184220,594526.1558784381
217.5267131329,59.6610206883,10.6776842000,6614855.3375763828,594526.3648062504
218.5286214352,59.6610218572,10.6776886400,6614855.4740354987,594526.6116461295
219.5277194977,59.6610226612,10.6776935533,6614855.5705486657,594526.8861782617
220.5271513462,59.6610242042,10.6776985000,6614855.7493885336,594527.1605083280
221.5273933411,59.6610257907,10.6777033983,6614855.9330028174,594527.4319930570
222.5272388458,59.6610273988,10.6777081633,6614856.1188395796,594527.6959053836
223.5271689892,59.6610289813,10.6777130167,6614856.3019444626,594527.9648662219
224.5300199986,59.6610306658,10.6777175533,6614856.4959549401,594528.2157003916
225.5262489319,59.6610324193,10.6777222733,6614856.6979088811,594528.4766685001
225.5262489319,59.6610341352,10.6777265700,6614856.8950662138,594528.7138939190
226.5271430016,59.6610357967,10.6777309733,6614857.0863260729,594528.9572813506
227.5270819664,59.6610376993,10.6777354700,6614857.3045700202,594529.2052479587
228.5278818607,59.6610407552,10.6777404083,6614857.6518348986,594529.4748503786
229.5276818275,59.6610436005,10.6777440817,6614857.9738615202,594529.6737808830
230.5340452194,59.6610455800,10.6777473567,6614858.1989202257,594529.8527080138
232.3187458515,59.6610476967,10.6777510033,6614858.4397801803,594530.0521870597
232.5546357632,59.6610497417,10.6777544683,6614858.6724021640,594530.2416335212
234.0312590599,59.6610516427,10.6777581700,6614858.8893284481,594530.4448179753
234.5264534950,59.6610534527,10.6777617100,6614859.0958926976,594530.6391509733
235.7307312489,59.6610547915,10.6777662150,6614859.2513722256,594530.8891737715
236.5298027992,59.6610557867,10.6777705433,6614859.3683368117,594531.1302112440
237.5265564919,59.6610572172,10.6777752900,6614859.5343665760,594531.3935903899
238.5265152454,59.6610588110,10.6777799917,6614859.7185175726,594531.6539746982
239.5268881321,59.6610604338,10.6777847933,6614859.9060398238,594531.9199108977
240.5269455910,59.6610611485,10.6777868917,6614859.9885981409,594532.0361098421
240.5269455910,59.6610611843,10.6777868250,6614859.9924928313,594532.0322532906
241.5267980099,59.6610611547,10.6777868200,6614859.9891826659,594532.0320551143
242.5272097588,59.6610611520,10.6777868783,6614859.9889688389,594532.0353488520
243.5270743370,59.6610612278,10.6777868900,6614859.9974286286,594532.0357926558
